,name,rating,date,one,two,three,four,five,tag,tag_name,region,region_name,era,is_made_in_china,log10_proportion
6471,招魂3 The Conjuring: The Devil Made Me Do It(2021),6.4,2021-05-26,7.5,22.1,55.2,13.4,1.8,tag3,恐怖,region1, 美国 ,2020s,0.0,0.8750612633917001
6472,必胜球探 Hustle(2022),7.5,2022-06-08,15.6,46.7,34.8,2.5,0.4,tag3,运动,region1, 美国,2020s,0.0,1.1931245983544616
6473,带你去见我妈(2022),7.5,2022-01-07,13.1,51.8,30.4,4.1,0.6,tag3,家庭,region1, 中国大陆,2020s,1.0,1.1172712956557642
6474,刺猬索尼克 Sonic the Hedgehog(2020),6.0,2020-02-14,2.7,17.5,60.0,17.6,2.2,tag3,动画,region1, 加拿大 ,2020s,0.0,0.43136376415898736
6475,日常幻想指南(2021),4.8,2021-09-19,1.9,8.2,35.0,39.8,15.1,tag3,奇幻,region1, 中国大陆,2020s,1.0,0.2787536009528289
6476,奇门遁甲(2020),5.2,2020-03-19,3.0,7.4,47.1,33.2,9.3,tag3,冒险,region1, 中国大陆,2020s,1.0,0.47712125471966244
6477,哆啦A梦：大雄的新恐龙 映画ドラえもん のび太の新恐竜(2020),7.1,2020-08-07,11.9,37.9,43.9,5.7,0.6,tag3,冒险,region1, 日本,2020s,0.0,1.0755469613925308
6478,新鲜 Fresh(2022),6.4,2022-01-20,6.7,23.3,54.8,13.1,2.1,tag3,恐怖,region1, 美国,2020s,0.0,0.8260748027008264
6479,万物生灵：2020圣诞特别集 All Creatures Great and Small: Christmas Special(2020),8.8,2020-12-22,51.8,38.0,9.3,0.7,0.3,tag3,爱情,region1, 英国,2020s,0.0,1.714329759745233
6480,当我望向你的时候 Will You Look At Me(2022),7.6,2022-05-23,17.3,51.7,26.2,3.8,0.9,tag3,同性,region1, 中国大陆,2020s,1.0,1.2380461031287955
6481,维斯珀 Vesper(2022),6.3,2022-07-03,8.0,22.5,48.3,17.2,4.0,tag3,冒险,region1, 立陶宛 ,2020s,0.0,0.9030899869919435
6482,黑匣子 Boîte noire(2020),7.6,2020-11-08,15.1,53.2,29.4,1.9,0.4,tag3,惊悚,region1, 法国 ,2020s,0.0,1.1789769472931695
6483,蛛丝马迹 The Little Things(2021),6.5,2021-01-29,6.8,26.5,53.8,11.2,1.7,tag3,犯罪,region1, 美国,2020s,0.0,0.8325089127062363
6484,天堂的张望(2020),6.7,2020-11-20,14.0,27.9,42.5,9.7,5.8,tag3,儿童,region1, 中国大陆,2020s,1.0,1.146128035678238
6485,亚当斯一家2 The Addams Family 2(2021),6.4,2021-10-01,10.3,22.6,49.2,15.1,2.8,tag3,奇幻,region1, 美国,2020s,0.0,1.0128372247051722
6486,领袖水准 Boss Level(2020),7.0,2020-02-11,10.6,37.9,44.9,5.7,0.9,tag3,惊悚,region1, 美国,2020s,0.0,1.0253058652647702
6487,"我亲爱的莫妮卡 Monica, O My Darling(2022)",7.1,2022-11-11,10.5,41.1,40.6,6.4,1.4,tag3,惊悚,region1, 印度,2020s,0.0,1.021189299069938
6488,重启之深渊疑冢(2022),5.5,2022-11-04,3.7,11.4,49.5,27.9,7.4,tag3,恐怖,region1, 中国大陆,2020s,1.0,0.568201724066995
